month,division,unit,client_id,revenue,labor_cost
2025-01,사업1부,UNIT1,CLIENT001,10000000,5800000
2025-01,사업1부,UNIT2,CLIENT002,12000000,7600000
2025-01,사업2부,UNIT20,CLIENT003,9000000,6400000
2025-01,사업2부,UNIT21,CLIENT004,15000000,8700000
2025-01,사업3부,UNIT30,CLIENT005,7000000,5100000
2025-02,사업1부,UNIT1,CLIENT001,11000000,6000000
2025-02,사업1부,UNIT2,CLIENT002,11500000,7800000
2025-02,사업2부,UNIT20,CLIENT003,9500000,6700000
2025-02,사업2부,UNIT21,CLIENT004,16000000,8900000
2025-02,사업3부,UNIT30,CLIENT005,7200000,5200000
